fov,hub_id,hub_uid,nucleus_id,radius_start_nm,radius_end_nm,radius_center_nm,bin_index,h3k27ac_sum_intensity,h3k27ac_mean_intensity,h3k27ac_median_intensity,expected_h3k27ac_sum_intensity,local_h3k27ac_mean,spen_sum_intensity,spen_mean_intensity,spen_median_intensity,expected_spen_sum_intensity,local_spen_mean,local_reference_pixel_count,h3k27ac_rdf_local_norm,spen_rdf_local_norm,pixel_count,spotiflow_intensity,nucleus_spen_median,nucleus_h3k27ac_mean
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,500.0,600.0,550.0,10,77670063.3125,739714.8886904762,748629.1875,79553855.47697368,757655.7664473684,1320882.3916015625,12579.832300967262,11990.5146484375,1343003.8273657109,12790.5126415782,836,0.976320542188946,0.9835283896341983,105,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,550.0,650.0,600.0,11,78120463.90625,736985.5085495283,746832.03125,80311511.24342105,757655.7664473684,1303063.69921875,12293.053766214623,11846.0419921875,1355794.340007289,12790.5126415782,836,0.9727181408586614,0.96110719802219,106,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,600.0,700.0,650.0,12,75403834.875,732076.0667475729,753188.1875,78038543.94407895,757655.7664473684,1246072.5458984375,12097.79170775182,11712.0224609375,1317422.8020825547,12790.5126415782,836,0.9662383620206069,0.9458410344262084,103,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,650.0,750.0,700.0,13,89100635.21875,736368.8861053719,778529.8125,91676347.74013159,757655.7664473684,1441937.05078125,11916.835130423553,11650.9052734375,1547652.029630962,12790.5126415782,836,0.9719042851850646,0.9316933155349398,121,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,700.0,800.0,750.0,14,104658208.125,752936.7491007195,810488.0625,105314151.5361842,757655.7664473684,1655504.771484375,11910.106269671762,11685.6982421875,1777881.2571793697,12790.5126415782,836,0.9937715548991644,0.9311672333566604,139,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,750.0,850.0,800.0,15,100815088.5625,763750.6709280303,836582.28125,100010561.17105263,757655.7664473684,1602351.767578125,12139.028542258522,11976.3388671875,1688347.6686883224,12790.5126415782,836,1.00804442432906,0.9490650517632973,132,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,800.0,900.0,850.0,16,98640996.59375,782865.0523313492,869176.28125,95464626.57236843,757655.7664473684,1554203.408203125,12334.947684151786,12243.32275390625,1611604.5928388531,12790.5126415782,836,1.0332727433755127,0.9643825880797376,126,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,850.0,950.0,900.0,17,101657594.0,794199.953125,887623.09375,96979938.10526316,757655.7664473684,1605227.8134765625,12540.842292785645,12357.12646484375,1637185.6181220096,12790.5126415782,836,1.0482332324202936,0.9804800358055275,128,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,900.0,1000.0,950.0,18,106729757.46875,796490.7273787314,884342.125,101525872.70394737,757655.7664473684,1720869.244140625,12842.307792094216,12590.67724609375,1713928.6939714788,12790.5126415782,836,1.0512567351179274,1.0040494976212013,134,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,238,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00238,4,0.0,100.0,50.0,0,8520474.5,946719.3888888889,946866.0625,8264874.263722826,918319.3626358695,123107.43359375,13678.603732638889,13679.634765625,102842.38766506029,11426.931962784476,920,1.0309260889060448,1.1970495472614797,9,13851.4404296875,7236.885498046875,1548267.8988573803
