condition,results_dir,pcf_type,r_center_nm,mean_G,sem_G,n_nuclei,color
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,670.0,0.9751308660975452,0.0173465177212209,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,690.0,0.9756684987995584,0.0169545056655883,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,710.0,0.9761577097321574,0.0165693666160716,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,730.0,0.9765931858558988,0.0162335830690055,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,750.0,0.9769244397319834,0.0159632661740459,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,770.0,0.977249455453054,0.0157927454293079,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,790.0,0.9775216251178904,0.0156938877914476,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,810.0,0.9777666118669393,0.0155995681665547,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,830.0,0.9780028482305496,0.0155016446953321,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,850.0,0.9782510023762157,0.015393625825888,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,870.0,0.9785209505696764,0.0153030764700595,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,890.0,0.9785699629060608,0.0152196117795545,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,910.0,0.9784639641890291,0.0151921473125496,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,930.0,0.9784346445616235,0.0152162840122344,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,950.0,0.9785691894725264,0.0152874706560254,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,970.0,0.978850397290798,0.0153734256074349,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,990.0,0.9794307503061888,0.0155078413477439,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,1010.0,0.98030830022755,0.0156566114609271,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,1030.0,0.9812768629581128,0.0157828415503067,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,1050.0,0.9823779149885464,0.0159006908604283,10,#D55E00
Aux 24h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux24h,cross,50.0,1.2491383302392798,0.0461144153849168,21,#009E73
Aux 24h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux24h,cross,70.0,1.2497360308679042,0.0451624432820752,21,#009E73
Aux 24h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux24h,cross,90.0,1.2480103013852006,0.0439825149632674,21,#009E73
Aux 24h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux24h,cross,110.0,1.2432219011333032,0.0427764138975578,21,#009E73
Aux 24h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux24h,cross,130.0,1.235109587444887,0.0416230941569483,21,#009E73
Aux 24h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux24h,cross,150.0,1.2237299206109509,0.0405818825290172,21,#009E73
Aux 24h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux24h,cross,170.0,1.2096774608417962,0.03956349687255,21,#009E73
